name,address,lat,lng
一安堂外婦科診所,嘉義縣朴子市山通路１１２號,23.4658246,120.2449809
十方中醫診所,嘉義縣朴子市南通路三段727號,23.4629626,120.24282
十美診所,嘉義縣朴子市平和路3號,23.4653474,120.248144
上上牙醫診所,嘉義縣太保市麻太路79之2號,23.4975373,120.3632045
上水診所,嘉義縣朴子市山通路106號1樓至4樓及106-1號3樓至4樓,23.4661,120.2456888
上明眼科診所,嘉義縣竹崎鄉竹崎村中山路二一八號,23.5199187,120.5497318
上揚牙醫診所,嘉義縣朴子市平和里平和路11之8號,23.464266,120.2460596
大宇牙醫診所,嘉義縣民雄鄉中樂路６7、69號,23.556095,120.429643
大林黃眼科診所,嘉義縣大林鎮中正路313號1樓,23.6005349,120.4516294
大展牙醫診所,嘉義縣竹崎鄉中華路20號,23.5189366,120.5486448
大樂診所,嘉義縣溪口鄉溪東村民生街137號,23.6035453,120.39666
小太陽診所,嘉義縣朴子市海通路十五之二號,23.4636964,120.2416996
中埔牙醫診所,嘉義縣中埔鄉中埔村八十之四十號,23.4218248,120.5216475
仁禾中醫診所,嘉義縣太保市南新里中正路221號1樓,23.4978446,120.3814349
仁安中醫診所,嘉義縣太保市健康路212號,23.4664472,120.2958693
仁美牙醫診所,嘉義縣大林鎮中山路1巷26號,23.6002162,120.4546702
仁惠中醫診所,嘉義縣民雄鄉西安村西安路82之3號1樓,23.5576678,120.4231095
仁愛牙醫診所,嘉義縣朴子市海通路３２－５號,23.4639556,120.2456066
仁新診所,嘉義縣竹崎鄉竹崎村中山路９５號,23.521831,120.5509139
仁德中醫診所,嘉義縣朴子市新榮路１６２號,23.4626841,120.2453752
仁德診所,嘉義縣民雄鄉東榮村民生路三十六號,23.557303,120.431394
元興診所,嘉義縣中埔鄉和興村1鄰中山路5段969號,23.45388,120.459661
天佑診所,嘉義縣民雄鄉西安村西安路21-1號1樓,23.556439,120.4272118
太和中醫診所,嘉義縣民雄鄉東榮村中樂路２９號,23.556141,120.4308801
尤牙醫診所,嘉義縣大林鎮西林里中山路２０７號,23.6055761,120.4557969
王士虹小兒科診所,嘉義縣朴子市山通路四十一號,23.4654432,120.2446443
王冠中醫診所,嘉義縣中埔鄉和美村中山路５段８５０號,23.451907,120.46077
世安診所,嘉義縣梅山鄉梅北村新興路二九一號,23.5852063,120.5569943
世宗內兒科中醫診所,嘉義縣竹崎鄉竹崎村中正路８號,23.5214512,120.550183
丘傑隆診所,嘉義縣大林鎮平和街47之1號,23.6033621,120.4567627
台大佳醫診所,嘉義縣中埔鄉金蘭村頂山門34-51號,23.446368,120.493866
平安診所,嘉義縣布袋鎮興中里15鄰上海東路15號,23.3787612,120.1678622
正麒牙醫診所,嘉義縣梅山鄉梅東村社教路二十三號,23.5782781,120.5602687
永吉診所,嘉義縣布袋鎮光復里太平東路五一七號,23.3780085,120.1663159
永安診所,嘉義縣民雄鄉福樂村埤角368號,23.5254652,120.4412086
田金佩皮膚科診所,嘉義縣民雄鄉西安村20鄰西安路25之2號,23.5565112,120.4269076
石健男診所,嘉義縣鹿草鄉鹿草村鹿草１６１之７號,23.4132301,120.3075107
立心牙醫診所,嘉義縣朴子市山通路１８６之２號,23.4644589,120.242475
光復診所,嘉義縣朴子市松華里牛挑灣224號,23.4088408,120.2556724
全民診所,嘉義縣水上鄉中庄村中庄七十一之二十一號,23.4213007,120.4381581
全安堂中醫診所,嘉義縣中埔鄉和興村中華路３０５巷４６號,23.4392787,120.4527913
全德中醫診所,嘉義縣中埔鄉中華路八三六號一樓,23.449343,120.45944
吉田診所,嘉義縣民雄鄉興中村5鄰江厝店1號,23.5268849,120.42081
安田家庭醫學科內科診所,嘉義縣水上鄉水頭村正義路六十一號,23.430038,120.399384
安禾牙醫診所,嘉義縣義竹鄉義竹村122號,23.338435,120.243527
安安牙醫診所,嘉義縣民雄鄉東榮村和平路13號,23.5555782,120.4314401
安康診所,嘉義縣阿里山鄉樂野村8-3號,23.472657,120.701836
安得牙醫診所,嘉義縣六腳鄉港美村5鄰31號1樓,23.5300929,120.2890642
安聯診所,嘉義縣民雄鄉東榮村建國一路211號1、2、3樓,23.5583852,120.4335889
朴子市農會附設診所,嘉義縣朴子市市東路３號,23.4632234,120.2472251
江牙醫診所,嘉義縣大林鎮中興路９９－２號,23.6037153,120.4566938
江豐裕牙醫診所,嘉義縣民雄鄉東榮村中庄１１６號,23.557045,120.434154
佛教慈濟醫療財團法人大林慈濟醫院,嘉義縣大林鎮平林里民生路2號,23.596561,120.4571827
何外婦產科診所,嘉義縣民雄鄉文化路２６－３１號,23.5511359,120.4287731
何振庚耳鼻喉科診所,嘉義縣民雄鄉中樂村民族路４０之２號,23.5556024,120.4292927
何慶堂診所,嘉義縣民雄鄉西安村西安路三十五之十九號,23.557151,120.4257229
佑全診所,嘉義縣義竹鄉六桂村156之6號,23.337356,120.244702
佑明眼科診所,嘉義縣朴子市平和里平和路9號,23.4648437,120.2472499
佑昇中醫診所,嘉義縣朴子市開元路３８２號,23.4654163,120.2397934
佑誠牙醫診所,嘉義縣梅山鄉梅南村中山路九十三號,23.5802762,120.5590884
佑興診所,嘉義縣水上鄉民生村忠孝街二二七號,23.44959,120.4334503
吳內科小兒科診所,嘉義縣朴子市海通路３２－１號,23.4639678,120.245793
吳源益診所,嘉義縣太保市麻寮里中山路2段202號,23.4997242,120.3703861
吳蕙霓診所,嘉義縣民雄鄉東榮村中樂路37號,23.556088,120.430699
呂正碩中醫診所,嘉義縣大林鎮中興路一○二號,23.60369,120.4567209
宏昇牙醫診所,嘉義縣朴子市文化里南通路三段８４３號,23.4652163,120.2424171
宏恩診所,嘉義縣中埔鄉中埔村中正路三十八號,23.4243206,120.5237392
宏榮診所,嘉義縣中埔鄉同仁村同仁十八號,23.4018947,120.511167
快安牙醫診所,嘉義縣大林鎮中正路４１８號,23.6013112,120.4527585
快樂牙醫診所,嘉義縣鹿草鄉西井村十三鄰五七五號,23.4113896,120.3083201
李眼科診所,嘉義縣民雄鄉西安村西安路8號,23.5562188,120.4278847
李龍駒診所,嘉義縣新港鄉福德村9鄰中山路72巷18號及20號,23.5541379,120.3451449
杏宜診所,嘉義縣梅山鄉梅北村中正路１５４號,23.584184,120.557849
杏林診所,嘉義縣義竹鄉六桂村１７９－１６號,23.3365789,120.24405
杏春診所,嘉義縣東石鄉西崙村十二鄰一九一號,23.425321,120.19307
杏茹診所,嘉義縣大林鎮三塊厝7之6號及7之7號,23.614311,120.486123
沅洹牙醫診所,嘉義縣梅山鄉中山路115號,23.5808606,120.5589596
里仁中醫診所,嘉義縣朴子市竹圍里八德路47號,23.4629804,120.2406803
佳和中醫診所,嘉義縣朴子市大同路149號,23.4611321,120.24305
佳音診所,嘉義縣竹崎鄉內埔村元興路47號,23.4851834,120.5604455
佳恩診所,嘉義縣民雄鄉福樂村埤角551號,23.5270362,120.444862
佳誼小兒科診所,嘉義縣中埔鄉中山路5段697號,23.451238,120.464381
和順興診所,嘉義縣民雄鄉民族路47、47-2、４９號,23.555464,120.428301
和榮內兒科診所,嘉義縣梅山鄉中山路１９５號,23.583013,120.55831
宗和中醫診所,嘉義縣水上鄉水上村正義路一一○號,23.4285878,120.3980798
定安診所,嘉義縣太保市麻寮里中山路一段311之5號1樓,23.49835,120.378396
尚民診所,嘉義縣義竹鄉六桂村２０９－３號,23.3362019,120.2445898
尚和牙醫診所,嘉義縣布袋鎮太平東路466號,23.3776802,120.167584
尚群診所,嘉義縣朴子市海通路98－8號,23.4638839,120.2404327
怡和診所,嘉義縣大林鎮瑞德路４５號,23.6054324,120.4573562
承新牙醫診所,嘉義縣民雄鄉福樂村埤角75之20號,23.526121,120.443023
承德中醫診所,嘉義縣義竹鄉仁里村377號,23.338435,120.243527
昌模小兒科診所,嘉義縣新港鄉大興村福德路２０號,23.556517,120.345736
明一中醫診所,嘉義縣六腳鄉蒜南村五鄰四○○號,23.4904482,120.2911828
明仁堂中醫診所,嘉義縣新港鄉新民路三十五號,23.5566059,120.347359
明利牙醫診所,嘉義縣朴子市海通路７２號,23.4638687,120.2422848
明聖牙醫診所,嘉義縣水上鄉柳林村１１６５號,23.430716,120.413501
昇賢牙醫診所,嘉義縣水上鄉水上村十四鄰嘉朴路２３號,23.4338477,120.3956107
林牙醫診所,嘉義縣新港鄉中正路１10號,23.5581706,120.3469239
林光診所,嘉義縣竹崎鄉中山路１３１號,23.5211569,120.5505331
林杰堂診所,嘉義縣朴子市中正里１０６號,23.4673075,120.2461166
