TempleName,LordGod,Area,Address,lat,long
成德堂,釋迦牟尼佛,雲林縣,雲林縣麥寮鄉光大寮麥豐村5鄰41號,23.7448437,120.2567145
閭山宮,,雲林縣,雲林縣麥寮鄉中山麥津村路200巷80號,23.7516853,120.2544965
聖奉宮,天上聖母,雲林縣,雲林縣麥寮鄉施厝村二三九之一六號,23.7955071,120.2800582
聚寶宮,五府千歲,雲林縣,雲林縣麥寮鄉施厝村11鄰176號,23.7951385,120.2828888
護安府,康蘇池府千歲,雲林縣,雲林縣麥寮鄉興華村八鄰山寮26-60號,23.753414,120.291022
福德祠,土地公,雲林縣,雲林縣麥寮鄉中興路麥津村150號,23.7541618,120.2520885
泰安宮,蕭府太傅,雲林縣,雲林縣麥寮鄉橋頭村9鄰247號,23.795503,120.272106
吉安宮,李府千歲,雲林縣,雲林縣麥寮鄉新吉村七鄰六九號,23.816605,120.280072
順天宮,媽祖,雲林縣,雲林縣麥寮鄉雷厝村6鄰62號,23.806373,120.2894283
安南祠,三法大將軍,雲林縣,雲林縣麥寮鄉橋頭村一鄰三號,23.7969911,120.2235872
安聖宮,雷府千歲,雲林縣,雲林縣麥寮鄉忠和路海豐村五九號,23.7749249,120.2236615
玉安宮,張聖真君,雲林縣,雲林縣麥寮鄉興華村一六鄰五0號,23.749564,120.293834
北玄宮,北極玄天上帝,雲林縣,雲林縣麥寮鄉沙崙後崙後村六鄰一四一號,23.7729897,120.2679534
福興宮,李府千歲,雲林縣,雲林縣麥寮鄉後安村二鄰四九號,23.78926,120.238417
開元宮,朱伍府千歲,雲林縣,雲林縣麥寮鄉沙崙後崙後村43號,23.7727222,120.2659651
麥寮拱範宮,媽祖,雲林縣,雲林縣麥寮鄉中正路麥豐村三號,23.748227,120.2555798
鎮西宮,蕭府千歲,雲林縣,雲林縣麥寮鄉中正路麥津村一九四號,23.74979,120.251687
崙背福德宮,福德正神,雲林縣,雲林縣崙背鄉中山路福德巷西榮村,23.7678745,120.3464333
玄天宮,玄天上帝,雲林縣,雲林縣麥寮鄉新吉村五鄰五六號,23.816605,120.280072
北嶽殿,地藏王,雲林縣,雲林縣麥寮鄉忠和海豐村一鄰路二四之七號,23.7649174,120.2252459
王興宮,觀音菩薩,雲林縣,雲林縣褒忠鄉潮厝村9鄰王厝6之1號,23.7196744,120.3383222
帝君廟,關聖帝君,雲林縣,雲林縣大埤鄉吉田村六鄰田子林六四號,23.657782,120.418223
玄武宮,中壇元帥,雲林縣,雲林縣大埤鄉中埤三結村三八號,23.6653675,120.4430706
龍海宮,天上聖母,雲林縣,雲林縣東勢鄉信義路龍潭村1之13號,23.6897299,120.2394633
鎮南宮,玄天上帝,雲林縣,雲林縣麥寮鄉新興路麥豐村二二鄰二七之六號,23.7446339,120.2505063
鎮盛宮,媽祖,雲林縣,雲林縣麥寮鄉橋頭村二鄰五一號,23.7906333,120.2717519
福安宮,,雲林縣,雲林縣麥寮鄉三盛村8鄰43號,23.7974919,120.265021
