CareName,City,Area,addr,Address,機構狀態,Service,電話,傳真,單位網址,單位電子信箱,lat,lng
財團法人伊甸社會福利基金會,雲林縣,二崙鄉,中興路62巷1弄32號,雲林縣二崙鄉中興路62巷1弄32號,2,日間照顧服務,05-5988759,05-5987893,https://www.eden.org.tw/,eden5747@mail.eden.org.tw,23.7734326,120.412712
私立玉妹紀念護理之家,雲林縣,二崙鄉,大同村大同路17之1號,雲林縣二崙鄉大同村大同路17之1號,2,一般護理之家,05-5983205,無,http://yumeinursinghome.wix.com/yumeinursinghome,Eason605@yahoo.com.tw,23.7914442,120.3742075
雲林縣口湖鄉老人福利協進會,雲林縣,口湖鄉,漁港路322-1號,雲林縣口湖鄉漁港路322-1號,2,日間照顧服務,05-7724520,05-7724851,https://www.facebook.com/%E9%9B%B2%E6%9E%97%E7%B8%A3%E8%81%96%E5%BF%83%E7%A4%BE%E6%9C%83%E9%97%9C%E6%87%B7%E5%8D%94%E6%9C%83-1412715955665889/timeline/#!/pages/%E5%90%91%E9%99%BD%E5%B1%85%E6%97%A5%E9%96%93%E7%85%A7%E9%A1%A7%E4%B8%AD%E5%BF%83/431101750329496,sunflower10107@gmail.com,23.618626,120.159937
雲林縣聖心社會關懷協會,雲林縣,土庫鎮,復興路28號,雲林縣土庫鎮復興路28號,2,日間照顧服務,05-6621365,05-6621345,https://zh-tw.facebook.com/%E9%9B%B2%E6%9E%97%E7%B8%A3%E8%81%96%E5%BF%83%E7%A4%BE%E6%9C%83%E9%97%9C%E6%87%B7%E5%8D%94%E6%9C%83-1412715955665889/timeline/,ickuo@ms39.hinet.net,23.6861793,120.3881999
佳佳護理之家,雲林縣,土庫鎮,仁美街1-7、1-9 、1-11號,雲林縣土庫鎮仁美街1-7、1-9 、1-11號,2,一般護理之家,05-6628276,05-6628310,無,key616269@yahoo.com.tw,23.6740082,120.3903673
主恩居家護理所,雲林縣,大埤鄉,民權路7號,雲林縣大埤鄉民權路7號,2,居家護理,05-5912202,05-5912182,無,edward.baby@msa.hinet.net,23.6446135,120.4293179
雲林縣私立萊園老人長期照護中心,雲林縣,元長鄉,長南村元南路6-20號,雲林縣元長鄉長南村元南路6-20號,1,長期照護型機構,?05-7888955,?05-7889727,無,?lai-yuan@hotmail.com,23.6450353,120.3207076
社團法人雲林縣老人福利保護協會,雲林縣,斗六市,虎溪路23-1號,雲林縣斗六市虎溪路23-1號,2,"日間照顧服務,家庭托顧服務,居家喘息",05-5519878,05-5517539,http://www.carefamily.org.tw,sunflower10107@gmail.com,23.7213664,120.5240296
國立成功大學醫學院附設醫院斗六分院,雲林縣,斗六市,莊敬路345-11號,雲林縣斗六市莊敬路345-11號,2,日間照顧服務,05-5332121#5214,05-5341312,http://d6www.hosp.ncku.edu.tw/dept/psy/,w560118@yahoo.com.tw,23.7032083,120.5454791
社團法人雲林縣老人長期照護協會,雲林縣,斗六市,建興路146-2號,雲林縣斗六市建興路146-2號,2,"日間照顧服務,居家喘息",05-5320910,05-5374215,http://www.careold.org.tw/,daycare.sun@msa.hinet.net,23.709707,120.524128
洪揚醫院附設護理之家,雲林縣,斗六市,文化路138號,雲林縣斗六市文化路138號,2,一般護理之家,05-5323039,無,無,greentea640801@yahoo.com.tw,23.7108506,120.5488173
安生醫院附設護理之家,雲林縣,斗六市,保庄里保長路498號,雲林縣斗六市保庄里保長路498號,2,一般護理之家,05-5353959,05-5353961,無,nshome1112@hotmail.com,23.704752,120.5126
國立成功大學醫學院附設醫院斗六分院附設護理之家,雲林縣,斗六市,莊敬路345號,雲林縣斗六市莊敬路345號,2,一般護理之家,05-5362385,無,無,n051023@mail.hosp.ncku.edu.tw,23.7032083,120.5454791
國立臺灣大學醫學院附設醫院雲林分院附設護理之家,雲林縣,斗六市,雲林路二段579號,雲林縣斗六市雲林路二段579號,2,"一般護理之家,居家喘息",05-5323911#2283,無,無,Y00162@msl.ylh.gov.tw,23.6975466,120.5259195
國立臺灣大學醫學院附設醫院雲林分院附設居家護理所,雲林縣,斗六市,雲林路二段579號,雲林縣斗六市雲林路二段579號,2,"居家喘息,居家護理",05-5335365,05-5325823,無,10_101i@yahoo.com.tw,23.6975466,120.5259195
國立成功大學醫學院附設醫院斗六分院附設居家護理所,雲林縣,斗六市,莊敬路345號,雲林縣斗六市莊敬路345號,2,居家護理,05-5332121,05-5341312,http://d6www.hosp.ncku.edu.tw/dept/nurse/main.asp,p306160@dou6.hosp.ncku.edu.tw,23.7032083,120.5454791
佛教慈濟醫療財團法人附設斗六門診部附設居家護理所,雲林縣,斗六市,雲林路二段248號,雲林縣斗六市雲林路二段248號,2,居家護理,05-5372000#111,05-5370503,無,cute@tzuchi.com.tw,23.7022825,120.5299519
安生醫院附設居家護理所,雲林縣,斗六市,保長路498號,雲林縣斗六市保長路498號,2,居家護理,05-5353959,05-5353961,http://annsun168.blogspot.tw/,shuing1984@gmail.com,23.704752,120.5126
洪揚醫院附設居家護理所,雲林縣,斗六市,文化路138號,雲林縣斗六市文化路138號,2,居家護理,05-5323039#222,05-5321717,http://www.hygh.com.tw/,bco0923@yahoo.com.tw,23.7108506,120.5488173
代安居家護理所,雲林縣,斗六市,明德北路一段171號,雲林縣斗六市明德北路一段171號,2,居家護理,05-5349899,05-5336271,無,diane99tw@gmail.com,23.718381,120.5430756
雲林縣聖心社會關懷協會,雲林縣,斗南鎮,新興街16號,雲林縣斗南鎮新興街16號,2,日間照顧服務,05-5977365,無,https://zh-tw.facebook.com/%E9%9B%B2%E6%9E%97%E7%B8%A3%E8%81%96%E5%BF%83%E7%A4%BE%E6%9C%83%E9%97%9C%E6%87%B7%E5%8D%94%E6%9C%83-1412715955665889/timeline/,ickuo@ms39.hinet.net,23.6753225,120.4816424
雲林縣私立雙福佛門老人長期照顧中心（長期照護型）,雲林縣,斗南鎮,小東里17鄰大業路152巷5弄28號,雲林縣斗南鎮小東里17鄰大業路152巷5弄28號,1,長期照護型機構,05-5977899,05-5968557,無,sfb5977899@gmail.com,23.6937341,120.478247
雲林縣家園關懷協會,雲林縣,水林鄉,廟前路17巷17號,雲林縣水林鄉廟前路17巷17號,2,日間照顧服務,05-7853483,05-7854483,https://www.facebook.com/redappleshuilin/?ref=hl,redappleshuilin@gmail.com,23.5727915,120.2415438
社團法人雲林縣復健青年協進會,雲林縣,北港鎮,穎寧街72號,雲林縣北港鎮穎寧街72號,2,日間照顧服務,05-7827433,05-7730053,http://yunfull123.pixnet.net/blog,yunfull.pakang@gmail.com,23.5786309,120.2953743
中國醫藥大學北港附設醫院附設護理之家,雲林縣,北港鎮,新德路123號6樓,雲林縣北港鎮新德路123號6樓,2,一般護理之家,05- 7837901#6100,無,www.bh.cmu.edu.tw,n0219@mail.bh.cmu.edu.tw,23.590144,120.307229
佳康居家護理所,雲林縣,北港鎮,新德路110號,雲林縣北港鎮新德路110號,2,居家護理,"05-7838593,0955562381",05-7824943,無,chiumiao998@yahoo.com.tw,23.5872596,120.3042365
中國醫藥大學北港附設醫院附設居家護理所,雲林縣,北港鎮,新德路123號,雲林縣北港鎮新德路123號,2,居家護理,"05-7823831,05-7837901#1152",05-7823831,http://www.yl.cch.org.tw/dot/,no382@mail.bh.cmu.edu,23.590144,120.307229
全生醫院附設居家護理所,雲林縣,北港鎮,中正路100號2樓,雲林縣北港鎮中正路100號2樓,2,居家護理,05-7826808,05-7826809,無,zeii@ms42.hinet.net,23.5699407,120.3015586
雲林縣私立安泰老人長期照護中心,雲林縣,北港鎮,劉厝里民樂路427-22號,雲林縣北港鎮劉厝里民樂路427-22號,1,長期照護型機構,?05-7832588,?05-7839873,http://wmall.tnyn.com/anta,?HUIILOO@KCG.URL.COM.TW,23.5845963,120.2905319
雲林縣私立長榮老人長期照顧中心(長期照護型),雲林縣,北港鎮,劉厝里民樂路427-28號,雲林縣北港鎮劉厝里民樂路427-28號,1,長期照護型機構,?05-7832988,?05-7839873,無,h960825@yahoo.com.tw,23.5845963,120.2905319
社團法人雲林縣老人長期照護協會,雲林縣,古坑鄉,中山路33號,雲林縣古坑鄉中山路33號,2,"日間照顧服務,居家喘息",05-5820192,05-5820190,http://www.careold.org.tw/,careold@seed.net.tw,23.6422451,120.5613646
雲林縣私立平安老人長期照顧中心,雲林縣,古坑鄉,荷苞厝荷苞路109-8號,雲林縣古坑鄉荷苞厝荷苞路109-8號,1,長期照護型機構,?05-5266979,?05-5267155,無,?pingan88888@gmail.com,23.6761299,120.5744023
彰化基督教醫療財團法人附設雲林基督教護理之家,雲林縣,西螺鎮,新豐里區場南路375號7樓,雲林縣西螺鎮新豐里區場南路375號7樓,2,一般護理之家,05-5871111#2781,無,無,804571@cch.org.tw,23.781431,120.441177
育仁醫院附設護理之家,雲林縣,西螺鎮,福興里延平路162號,雲林縣西螺鎮福興里延平路162號,2,一般護理之家,05-58645740965-392-686,05-5867214,無,Hlmh0101@gmail.com,23.801337,120.4609143
彰化基督教醫療財團法人附設雲林基督教居家護理所,雲林縣,西螺鎮,市場南路375號,雲林縣西螺鎮市場南路375號,2,居家護理,05-5871111,05-5872000,http://www.yl.cch.org.tw/dot/,818619@cch.org.tw,23.7809585,120.4418958
中華民國紅十字會台灣省雲林縣支會,雲林縣,東勢鄉,復興路5-1號,雲林縣東勢鄉復興路5-1號,2,"日間照顧服務,居家喘息",05-6996538,05-6998743,http://www.ylc-redcross.org.tw,redcrossyunlin@kimo.com,23.6804563,120.2778955
社團法人雲林縣老人福利保護協會,雲林縣,虎尾鎮,堀頭1號,雲林縣虎尾鎮堀頭1號,2,"日間照顧服務,居家喘息",05-6225551,05-6226837,http://www.carefamily.org.tw,oldmman@ms33.hinet.net,23.7191662,120.4483452
天主教若瑟醫療財團法人若瑟醫院附設護理之家,雲林縣,虎尾鎮,新生路74號,雲林縣虎尾鎮新生路74號,2,一般護理之家,05-6337333#2355,無,無,ph2272@mail.stjoho.org.tw,23.7080161,120.4373426
天主教若瑟醫療財團法人附設若瑟護理之家,雲林縣,虎尾鎮,新生路74號,雲林縣虎尾鎮新生路74號,2,一般護理之家,05-6337333#2355,無,http://www.stjoho.org.tw/department/nh/,3fiso@mail.stjoho.org.tw,23.7080161,120.4373426
天主教若瑟醫療財團法人附設若瑟居家護理所,雲林縣,虎尾鎮,16鄰新生路74號,雲林縣虎尾鎮新興里16鄰新生路74號,2,居家護理,05-6337333#2272,05-6336333,http://www.stjoho.org.tw/msgBoard.asp,ph@mail.stjoho.org.tw,23.7080161,120.4373426
長青護理之家,雲林縣,崙背鄉,大有村286號,雲林縣崙背鄉大有村286號,2,一般護理之家,05-6968040,,,,23.758291,120.306996
財團法人老五老基金會,雲林縣,莿桐鄉,興北70-5號,雲林縣莿桐鄉興北70-5號,2,日間照顧服務,05-5845220,05-5845221,http://www.ofo.org.tw/,ezofoorgtw@gmail.com,23.7754533,120.5227439
中華民國紅十字會台灣省雲林縣支會,雲林縣,臺西鄉,中山路299巷56號,雲林縣臺西鄉中山路299巷56號,2,"日間照顧服務,居家喘息",05-6985632,05-6980318,http://www.ylc-redcross.org.tw,redcrossyunlin@kimo.com,23.6999156,120.1938179
社團法人雲林縣老人福利保護協會,雲林縣,褒忠鄉,下田27-3號,雲林縣褒忠鄉田洋村下田27-3號,2,日間照顧服務,05-5519878,,,,23.7198279,120.3100971
社團法人雲林縣老人福利保護協會,雲林縣,褒忠鄉,中勝路100號,雲林縣褒忠鄉中勝路100號,2,日間照顧服務,05-6973276,,,,23.701013,120.310042
?忠三仁診所附設護理之家,雲林縣,褒忠鄉,中正路466號2-5樓,雲林縣褒忠鄉中正路466號2-5樓,2,一般護理之家,05-6973111,無,無,o0963269699@yahoo.com.tw,23.6999736,120.3326494
?忠三仁診所附設居家護理所,雲林縣,褒忠鄉,中正路466號,雲林縣褒忠鄉中正路466號,2,居家護理,05-6973111,05-6971332,san.ren@msa.hinet.net,bo601224@yahoo.com.tw,23.6925087,120.3056227
雲林縣私立三和老人長期照顧中心(長期照護型),雲林縣,褒忠鄉,中民村大部路2-68號,雲林縣褒忠鄉中民村大部路2-68號,1,長期照護型機構,?05-6973618,?05-6971918,https://www.facebook.com/pages/%E9%9B%B2%E6%9E%97%E7%B8%A3%E7%A7%81%E7%AB%8B%E4%B8%89%E5%92%8C%E8%80%81%E4%BA%BA%E9%95%B7%E6%9C%9F%E7%85%A7%E9%A1%A7%E4%B8%AD%E5%BF%83%E9%95%B7%E6%9C%9F%E7%85%A7%E8%AD%B7%E5%9E%8B/232542143488581,?sam20100416@yahoo.com.tw,23.704372,120.318776
財團法人雲林縣私立同仁仁愛之家,雲林縣,林內鄉,,雲林縣林內鄉林茂村復興路34號,,          養護,05-5892670,05-5890128,,,23.7506916,120.6084504
財團法人天主教中華道明修女會附設私立福安老人療養所,雲林縣,斗南鎮,,雲林縣斗南鎮北銘里15鄰興北路99號,,養護,05-5974374,05-5966201,,,23.67943,120.481686
雲林縣私立新樂園老人長期照顧中心〈養護型〉,雲林縣,虎尾鎮,,雲林縣虎尾鎮三合里10鄰吳厝59號,,養護,05-6621559,05-6620668,,,23.6863516,120.3965389
雲林縣私立歡禧老人長期照顧中心(養護型),雲林縣,西螺鎮,,雲林縣西螺鎮中興里19鄰福來路265巷15號,,養護,05-5880797,05-5880791,,,23.8006556,120.4496599
雲林縣私立長青老人長期照顧中心〈養護型〉,雲林縣,北港鎮,,雲林縣北港鎮新厝里9鄰新厝110-30號,,養護, 05-7822866,05-7822633,,,23.5853508,120.3161625
雲林縣私立恩惠老人長期照顧中心〈養護型〉,雲林縣,斗南鎮,,雲林縣斗南鎮東明里2鄰新庄20-36號,,養護,05-5952520,05-5952517,,,23.6873177,120.4944174
雲林縣私立安家園老人長期照顧中心〈養護型〉,雲林縣,北港鎮,,雲林縣北港鎮後溝里7鄰灣內77號,,養護,05-7821666,05-7838551,,,23.578912,120.318533
雲林縣私立大華老人長期照顧中心〈養護型〉,雲林縣,大埤鄉,,雲林縣大埤鄉南和村20鄰民族路81號,,養護,05-5918758,05-5915172,,,23.6431791,120.43373
雲林縣私立源春老人長期照顧中心〈養護型〉,雲林縣,崙背鄉,,雲林縣崙背鄉崙前村16鄰面前厝60號,,養護,05-6964007,05-6962707,,,23.753186,120.354633
雲林縣私立安親院老人長期照顧中心〈養護型〉,雲林縣,北港鎮,,雲林縣北港鎮後溝里灣仔內路76號,,養護,05-7834995,05-7838551,,,23.578348,120.3184886
雲林縣私立石龜老人養護中心,雲林縣,斗南鎮,,雲林縣斗南鎮靖興里靖光路37號,,養護,05-5968757,05-5969576,,,23.6445965,120.4801253
雲林縣私立朝陽老人養護中心,雲林縣,斗六市,,雲林縣斗六市鎮東里大學路1段201巷79號,,養護,05-5345039,05-5340551,,,23.7103628,120.558239
雲林縣私立慈愛老人養護所,雲林縣,斗南鎮,,雲林縣斗南鎮阿丹里興中1號,,養護,05-5961134,05-5965810,,,23.653449,120.50768
雲林縣私立僑真老人養護中心,雲林縣,斗南鎮,,雲林縣斗南鎮舊社里新生3路2840號,,養護,05-5954859,05-5950360,,,23.666949,120.4766185
雲林縣私立華山老人養護中心,雲林縣,古坑鄉,,雲林縣古坑鄉華山村91號,,養護,05-5901879,05-5901443,,,23.5885641,120.6056064
雲林縣私立永光老人養護中心,雲林縣,古坑鄉,,雲林縣古坑鄉永光村光興路20號,,養護,05-5828927,05-5829727,,,23.6199026,120.558461
雲林縣私立博愛老人養護中心,雲林縣,元長鄉,,雲林縣元長鄉長南村中山路1巷22號,,養護,05-7888688,05-7882673,,,23.6494544,120.3135715
雲林縣私立柏翔老人養護中心,雲林縣,虎尾鎮,,雲林縣虎尾鎮下溪里大庄73之58號,,養護,05-6225088,05-6225188,,,23.712611,120.459434
雲林縣私立雙福寶佛門老人養護中心,雲林縣,虎尾鎮,,雲林縣虎尾鎮平和里平和厝68之3號,,養護,05-6314899,05-6324268,,,23.703288,120.4550401
雲林縣私立祐康老人養護中心,雲林縣,崙背鄉,,雲林縣崙背鄉港尾村新鎮路45之3號,,養護,05-6969110,05-6969650,,,23.7535218,120.3741235
雲林縣私立慈暉老人養護中心,雲林縣,斗六市,,雲林縣斗六市虎溪里興農路632號,,養護,05-5510711,05-5510733,,,23.7211246,120.5186093
雲林縣私立聖元老人養護中心,雲林縣,斗南鎮,,雲林縣斗南鎮小東里17鄰大業路125-1號,,養護,05-5968545,05-5969845,,,23.693033,120.4744363
雲林縣私立伊甸園老人長期照顧中心〈養護型〉,雲林縣,虎尾鎮,,雲林縣虎尾鎮下溪里大庄76-16號,,養護,05-6326767,05-6312959,,,23.7052359,120.4602287
雲林縣私立養生老人長期照顧中心（養護型）,雲林縣,土庫鎮,,雲林縣土庫鎮忠正里中華路100號,,養護,05-6624800,05-6621850,,,23.6712497,120.3880984
雲林縣私立全佑老人長期照顧中心〈養護型〉,雲林縣,斗南鎮,,雲林縣斗南鎮新光里18鄰文安30-22號,,養護,05-5977129,05-5955139,,,23.6926272,120.4830051
