NO,year,season,year_season,city,total_population,total_population_increase,births,deaths,natural_increase_rate,immigrants,emigrants,social_increase_rate,total_increase_rate
1,96,1,961,嘉義縣,552819,-1022,1247,1248,0,4780,5801,-1.85,-1.85
2,96,2,962,嘉義縣,551993,-826,1108,1170,-0.11,5583,6347,-1.38,-1.49
3,96,3,963,嘉義縣,551498,-495,1170,1102,0.12,5508,6071,-1.02,-0.9
4,96,4,964,嘉義縣,551345,-153,1349,1200,0.27,3994,4296,-0.55,-0.28
5,97,1,971,嘉義縣,550344,-1001,1233,1395,-0.29,4475,5314,-1.52,-1.81
6,97,2,972,嘉義縣,549265,-1079,1082,1186,-0.19,5619,6594,-1.78,-1.97
7,97,3,973,嘉義縣,548652,-613,1042,1080,-0.07,5300,5875,-1.05,-1.12
8,97,4,974,嘉義縣,548731,79,1308,1303,0.01,5928,5854,0.13,0.14
9,98,1,981,嘉義縣,548039,-692,1101,1242,-0.26,5841,6392,-1.01,-1.27
10,98,2,982,嘉義縣,547550,-489,903,1087,-0.34,5960,6265,-0.56,-0.9
11,98,3,983,嘉義縣,547185,-365,1079,1216,-0.25,5809,6037,-0.42,-0.67
12,98,4,984,嘉義縣,547716,531,1169,1214,-0.08,5220,4644,1.05,0.97
13,99,1,991,嘉義縣,546901,-815,955,1262,-0.56,5564,6072,-0.93,-1.49
14,99,2,992,嘉義縣,544782,-2119,785,1188,-0.74,4902,6618,-3.15,-3.89
15,99,3,993,嘉義縣,543853,-929,843,1192,-0.64,5767,6347,-1.07,-1.71
16,99,4,994,嘉義縣,543248,-605,902,1328,-0.78,4570,4749,-0.33,-1.11
17,100,1,1001,嘉義縣,541637,2587,892,1417,-0.97,4523,1411,5.75,4.78
18,100,2,1002,嘉義縣,540059,2863,846,1240,-0.73,4836,1579,6.03,5.3
19,100,3,1003,嘉義縣,538779,3152,952,1181,-0.43,4718,1337,6.28,5.85
20,100,4,1004,嘉義縣,537942,-837,887,1207,-0.59,3845,4362,-0.96,-1.56
21,101,1,1011,嘉義縣,536373,-1569,879,1377,-0.93,4486,5557,-2,-2.93
22,101,2,1012,嘉義縣,535045,-2897,1834,2629,-1.48,8999,11101,-3.92,-5.4
23,101,3,1013,嘉義縣,534178,-3754,2759,3851,-2.04,13876,16548,-4.98,-7.02
24,101,4,1014,嘉義縣,533723,-455,1130,1236,-0.2,4515,4864,-0.65,-0.85
25,102,1,1021,嘉義縣,532541,-1182,930,1329,-0.75,4116,4899,-1.47,-2.22
26,102,2,1022,嘉義縣,531026,-1515,709,1262,-1.04,4360,5322,-1.81,-2.85
27,102,3,1023,嘉義縣,530004,-1022,744,1251,-0.96,4498,5013,-0.97,-1.93
28,102,4,1024,嘉義縣,529229,-775,747,1285,-1.02,3955,4192,-0.45,-1.47
29,103,1,1031,嘉義縣,527721,-1508,692,1537,-1.6,4292,4955,-1.26,-2.86
30,103,2,1032,嘉義縣,526936,1061,720,1429,-1.34,5770,4000,3.36,2.02
31,103,3,1033,嘉義縣,526028,-908,737,1327,-1.12,4279,4597,-0.6,-1.72
32,103,4,1034,嘉義縣,524783,-1245,816,1298,-0.92,3476,4239,-1.45,-2.37
33,104,1,1041,嘉義縣,523162,-1621,770,1462,-1.32,4127,5056,-1.77,-3.09
34,104,2,1042,嘉義縣,521591,-1571,663,1361,-1.34,4236,5109,-1.67,-3.01
35,104,3,1043,嘉義縣,520670,-921,715,1319,-1.16,4305,4622,-0.61,-1.77
36,104,4,1044,嘉義縣,519839,-831,906,1281,-0.72,3153,3609,-0.88,-1.6
37,105,1,1051,嘉義縣,518507,-1332,745,1577,-1.6,3715,4215,-0.96,-2.56
38,105,2,1052,嘉義縣,517339,-1168,665,1430,-1.48,3917,4320,-0.78,-2.26
39,105,3,1053,嘉義縣,516531,-808,729,1311,-1.13,4005,4231,-0.44,-1.57
40,105,4,1054,嘉義縣,515320,-1211,784,1416,-1.23,3375,3954,-1.12,-2.35
