NO,year,month,yearmonth,city,zero_twelve,twelve_seventeen,twenty,sixty_five,twnty_sixty,seventeen_twenty,zero_twenty,zero_seventeen,seventeen_sixty
1,101,1,10101,嘉義縣,9.85,7.15,80.37,15.81,64.56,2.63,19.63,17,67.19
2,101,2,10102,嘉義縣,10.81,7.17,80.41,15.81,64.6,1.61,19.59,17.98,66.21
3,101,3,10103,嘉義縣,10.74,7.17,80.47,15.83,64.64,1.62,19.53,17.91,66.26
4,101,4,10104,嘉義縣,10.68,7.17,80.53,15.87,64.66,1.62,19.47,17.85,66.28
5,101,5,10105,嘉義縣,10.63,7.18,80.58,15.87,64.71,1.61,19.42,17.81,66.32
6,101,6,10106,嘉義縣,10.6,7.18,80.61,15.87,64.74,1.61,19.39,17.78,66.35
7,101,7,10107,嘉義縣,10.57,7.17,80.66,15.87,64.79,1.6,19.34,17.74,66.39
8,101,8,10108,嘉義縣,10.52,7.16,80.7,15.89,64.81,1.62,19.3,17.68,66.43
9,101,9,10109,嘉義縣,10.5,7.18,80.75,15.93,64.82,1.57,19.25,17.68,66.39
10,101,10,10110,嘉義縣,10.48,7.19,80.8,15.97,64.83,1.53,19.2,17.67,66.36
11,101,11,10111,嘉義縣,10.46,7.19,80.84,16.01,64.83,1.51,19.16,17.65,66.34
12,101,12,10112,嘉義縣,10.44,7.21,80.89,16.04,64.85,1.46,19.11,17.65,66.31
13,102,1,10201,嘉義縣,10.4,7.2,80.93,16.07,64.86,1.47,19.07,17.6,66.33
14,102,2,10202,嘉義縣,10.35,7.19,80.98,16.11,64.87,1.48,19.02,17.54,66.35
15,102,3,10203,嘉義縣,10.27,7.17,81.05,16.14,64.91,1.51,18.95,17.44,66.42
16,102,4,10204,嘉義縣,10.19,7.15,81.11,16.16,64.95,1.55,18.89,17.34,66.5
17,102,5,10205,嘉義縣,10.13,7.14,81.17,16.19,64.98,1.56,18.83,17.27,66.54
18,102,6,10206,嘉義縣,10.07,7.14,81.23,16.21,65.02,1.56,18.77,17.21,66.58
19,102,7,10207,嘉義縣,10.02,7.11,81.29,16.22,65.07,1.58,18.71,17.13,66.65
20,102,8,10208,嘉義縣,9.95,7.09,81.36,16.25,65.11,1.6,18.64,17.04,66.71
21,102,9,10209,嘉義縣,9.89,7.1,81.41,16.29,65.12,1.6,18.59,16.99,66.72
22,102,10,10210,嘉義縣,9.83,7.08,81.49,16.33,65.16,1.6,18.51,16.91,66.76
23,102,11,10211,嘉義縣,9.77,7.05,81.56,16.38,65.18,1.62,18.44,16.82,66.8
24,102,12,10212,嘉義縣,9.69,7.04,81.63,16.43,65.2,1.64,18.37,16.73,66.84
25,103,1,10301,嘉義縣,9.63,7.02,81.69,16.47,65.22,1.66,18.31,16.65,66.88
26,103,2,10302,嘉義縣,9.56,7,81.76,16.51,65.25,1.68,18.24,16.56,66.93
27,103,3,10303,嘉義縣,9.52,6.97,81.81,16.54,65.27,1.7,18.19,16.49,66.97
28,103,4,10304,嘉義縣,9.48,6.95,81.87,16.63,65.24,1.7,18.13,16.43,66.94
29,103,5,10305,嘉義縣,9.43,6.94,81.92,16.63,65.29,1.71,18.08,16.37,67
30,103,6,10306,嘉義縣,9.39,6.93,81.97,16.63,65.34,1.71,18.03,16.32,67.05
