year,season,year_season,city,total_population,total_population_increase,births,deaths,natural_increase_rate,immigrants,emigrants,social_increase_rate,total_increase_rate
105,4,1054,新北市,"3,979,208","4,297","9,172","5,636",0.89,"38,619","37,858",0.19,1.08
105,4,1054,台北市,"2,695,704",-612,"7,537","4,271",1.21,"29,764","33,642",-1.44,-0.23
105,4,1054,桃園市,"2,147,763","11,061","6,505","3,076",1.6,"25,290","17,658",3.56,5.16
105,4,1054,台中市,"2,767,239","7,352","7,160","4,049",1.13,"31,298","27,057",1.53,2.66
105,4,1054,台南市,"1,886,033",534,"4,026","3,726",0.16,"16,597","16,363",0.12,0.28
105,4,1054,高雄市,"2,779,371","1,039","6,059","5,159",0.32,"27,395","27,256",0.05,0.37
105,4,1054,台灣省,"7,136,789","-4,077","16,105","15,415",0.1,"54,069","58,836",-0.67,-0.57
105,4,1054,宜蘭縣,"457,538",-133,993,907,0.19,"4,106","4,325",-0.48,-0.29
105,4,1054,新竹縣,"547,481","1,209","1,538",910,1.15,"5,120","4,539",1.06,2.21
105,4,1054,苗栗縣,"559,189","-1,082","1,174","1,135",0.07,"3,526","4,647",-2,-1.93
105,4,1054,彰化縣,"1,287,146",-519,"3,896","2,428",1.14,"7,500","9,487",-1.54,-0.4
105,4,1054,南投縣,"505,163",-889,"1,032","1,175",-0.28,"2,993","3,739",-1.48,-1.76
105,4,1054,雲林縣,"694,873","-1,052","1,323","1,847",-0.75,"4,236","4,764",-0.76,-1.51
105,4,1054,嘉義縣,"515,320",-1211,784,"1,416",-1.23,"3,375","3,954",-1.12,-2.35
105,4,1054,屏東縣,"835,792","-1,256","1,416","1,994",-0.69,"5,706","6,384",-0.81,-1.5
105,4,1054,台東縣,"220,802",-397,423,631,-0.94,"1,615","1,804",-0.86,-1.8
105,4,1054,花蓮縣,"330,911",-312,750,847,-0.29,"3,187","3,402",-0.65,-0.94
105,4,1054,澎湖縣,"103,263",383,302,242,0.58,"1,346","1,023",3.13,3.71
105,4,1054,基隆市,"372,100",81,657,699,-0.11,"3,878","3,755",0.33,0.22
105,4,1054,新竹市,"437,337",1117,"1,234",677,1.27,"4,991","4,431",1.28,2.55
105,4,1054,嘉義市,"269,874",-16,583,507,0.28,"2,490","2,582",-0.34,-0.06
105,4,1054,福建省,"147,709",704,465,174,1.97,"2,050","1,637",2.8,4.77
105,4,1054,金門縣,"135,114",695,413,162,1.86,"1,821","1,377",3.29,5.15
105,4,1054,連江縣,"12,595",9,52,12,3.17,229,260,-2.46,0.71
105,3,1053,新北市,"3,974,911","2,707","8,379","5,222",0.79,"44,540","44,990",-0.11,0.68
105,3,1053,台北市,"2,696,316","-6,609","6,703","4,167",0.94,"33,612","42,757",-3.39,-2.45
105,3,1053,桃園市,"2,136,702","12,363","5,888","2,858",1.42,"31,342","22,009",4.38,5.8
105,3,1053,台中市,"2,759,887","5,696","6,191","3,992",0.8,"34,430","30,933",1.27,2.07
105,3,1053,台南市,"1,885,499",111,"3,516","3,507",0,"17,752","17,650",0.05,0.05
105,3,1053,高雄市,"2,778,332",240,"5,392","5,135",0.09,"32,287","32,304",-0.01,0.08
105,3,1053,台灣省,"7,140,866","-4,636","14,071","14,972",-0.13,"65,570","69,305",-0.52,-0.65
105,3,1053,宜蘭縣,"457,671",-137,838,911,-0.16,"4,985","5,049",-0.14,-0.3
105,3,1053,新竹縣,"546,272","1,648","1,367",868,0.91,"6,655","5,506",2.11,3.02
105,3,1053,苗栗縣,"560,271","-1,224","1,084","1,193",-0.19,"4,094","5,209",-1.99,-2.18
105,3,1053,彰化縣,"1,287,665","-1,138","3,299","2,439",0.67,"8,609","10,607",-1.55,-0.88
105,3,1053,南投縣,"506,052","-1,158",874,"1,139",-0.52,"3,574","4,467",-1.76,-2.28
105,3,1053,雲林縣,"695,925","-1,180","1,145","1,693",-0.79,"4,952","5,584",-0.91,-1.7
105,3,1053,嘉義縣,"516,531",-808,729,"1,311",-1.13,"4,005","4,231",-0.44,-1.57
105,3,1053,屏東縣,"837,048","-1,536","1,285","2,078",-0.95,"6,733","7,476",-0.89,-1.84
105,3,1053,台東縣,"221,199",-305,362,632,-1.22,"2,102","2,137",-0.16,-1.38
105,3,1053,花蓮縣,"331,223",-149,637,798,-0.49,"4,208","4,196",0.04,-0.45
105,3,1053,澎湖縣,"102,880",551,242,211,0.3,"1,798","1,278",5.08,5.38
105,3,1053,基隆市,"372,019",182,649,663,-0.04,"5,100","4,904",0.53,0.49
105,3,1053,新竹市,"436,220",982,"1,092",588,1.16,"5,856","5,378",1.1,2.26
105,3,1053,嘉義市,"269,890",-364,468,448,0.07,"2,899","3,283",-1.42,-1.35
105,3,1053,福建省,"147,005","1,284",341,192,1.02,"3,184","2,049",7.76,8.78
105,3,1053,金門縣,"134,419","1,234",299,181,0.88,"2,895","1,779",8.35,9.23
105,3,1053,連江縣,"12,586",50,42,11,2.47,289,270,1.51,3.98
105,2,1052,新北市,"3,972,204","1,414","8,295","5,801",0.63,"41,587","42,667",-0.27,0.36
105,2,1052,台北市,"2,702,925","-1,570","6,833","4,493",0.87,"32,446","36,356",-1.45,-0.58
105,2,1052,桃園市,"2,124,339","10,167","5,765","3,050",1.28,"27,728","20,276",3.51,4.79
105,2,1052,台中市,"2,754,191","5,392","5,967","4,037",0.7,"31,835","28,373",1.26,1.96
105,2,1052,台南市,"1,885,388",231,"3,479","3,698",-0.12,"17,284","16,834",0.24,0.12
