address,lat,lng,date
嘉義縣中埔鄉東興村凍仔腳,23.3540673,120.5194274,104/06/01 01:00
嘉義縣中埔鄉金蘭村金蘭,23.444111,120.502116,104/03/28 01:00
嘉義縣中埔鄉石?村石?,23.4185828,120.545006,104/10/21 14:00
嘉義縣中埔鄉和美村和美路348巷,23.4568827,120.4651122,104/08/18 03:00
嘉義縣中埔鄉和興村中華路585巷,23.444895,120.456661,104/08/12 12:27
嘉義縣義竹鄉義竹國小,23.336024,120.245563,104/09/05 11:25
嘉義縣義竹鄉埤前村埤子頭,23.346324,120.222759,104/07/13 08:30
嘉義縣布袋鎮東安里22鄰,23.4105593,120.1921233,104/09/05 08:30
嘉義縣朴子市松華里,23.4063562,120.2498305,104/09/26 11:00
嘉義縣朴子市大鄉里,23.4604464,120.2541575,104/08/21 02:00
嘉義縣朴子市大鄉里,23.4604464,120.2541575,104/07/05 09:00
嘉義縣朴子市友愛街18巷,23.4591216,120.2446979,104/07/16 16:14
嘉義縣太保市埤麻腳段,23.468478,120.370512,103/12/02 12:00
嘉義縣水上鄉柳鄉村,23.4430784,120.4170377,104/08/13 10:00
嘉義縣太保市前潭里後潭,23.454792,120.3456213,104/07/26 12:00
嘉義縣太保市安仁里棒球三街,23.4540322,120.2932067,104/07/02 03:29
"嘉義縣民雄鄉大學路2段3460號1樓,",23.5619797,120.4613255,104/07/21 12:30
嘉義縣民雄鄉豐收村好收路,23.5619853,120.4494854,103/10/24 08:30
嘉義縣新港鄉六斗仔,23.547909,120.326,104/11/04 10:30
嘉義縣民雄鄉北勢子,23.534636,120.45553,104/08/23 09:23
嘉義縣民雄鄉新忠路,23.5457838,120.4602971,104/04/18 20:30
嘉義縣民雄鄉金興村惠安街71巷,23.5137963,120.4401529,104/01/05 10:00
嘉義縣新港鄉宮後街23巷,23.5583765,120.3493711,104/11/02 16:20
嘉義縣溪口鄉下員林,23.591668,120.445164,104/09/28 08:00
嘉義縣大林鎮民族北路240巷,23.6012508,120.4625238,104/03/14 18:00
嘉義縣大林鎮民生路,23.5969415,120.458895,104/03/12 22:40
嘉義縣大林鎮民族北路240巷,23.6012508,120.4625238,104/03/10 09:06
嘉義縣大林鎮中山路17巷,23.6006761,120.4543598,104/08/09 16:28
嘉義縣大林鎮下潭底,23.5936774,120.4570944,104/05/31 20:00
嘉義縣大林鎮忠孝路,23.6034498,120.446935,104/11/25 08:50
嘉義縣民雄鄉寮頂村,23.5682154,120.427121,104/10/19 09:00
嘉義縣民雄鄉東勢湖,23.55128,120.440681,104/08/04 23:00
嘉義縣民雄鄉西安路,23.5575322,120.4232208,104/08/06 03:20
嘉義縣竹崎鄉義仁村下寮仔,23.498532,120.506593,104/08/15 14:50
