address,lat,lng,date
雲林縣水林鄉蕃薯村蕃薯厝路,23.5415256,120.2237584,105/01/15 17:50
雲林縣斗南鎮西岐里和平街,23.6804463,120.4724504,105/01/20 04:30
雲林縣口湖鄉下崙村福安路,23.6237594,120.1645832,105/01/01 12:40
雲林縣林內鄉重興村重興路,23.7663799,120.5785663,105/01/09 12:40
雲林縣崙背鄉阿勸村?園路,23.7610467,120.3417689,105/01/27 11:10
雲林縣土庫鎮崙內里崙內路,23.6856184,120.3586961,105/01/30 13:05
雲林縣北港鎮劉厝里劉厝路,23.5855482,120.2902105,105/03/04 12:20
雲林縣斗六市龍潭路,23.6923115,120.5304887,105/03/07 22:30
雲林縣北港鎮義民里義民路,23.5675089,120.3022363,105/03/14 15:20
雲林縣虎尾鎮大庄,23.712611,120.459434,105/03/08 12:30
雲林縣斗六市愛國街,23.7094662,120.539947,105/03/08 22:11
雲林縣口湖鄉埔南村外埔,23.5974369,120.1906803,105/03/08 19:13
雲林縣口湖鄉梧北村復興路,23.5496842,120.1902886,105/03/30 16:30
雲林縣二崙鄉大華村華北路,23.8007458,120.4210659,105/03/01 13:37
雲林縣虎尾鎮惠來,23.730426,120.485882,105/03/20 13:00
雲林縣斗六市莊敬路,23.7033601,120.5467804,105/03/30 07:31
雲林縣西螺鎮吳厝里吳厝路,23.7461682,120.4245845,105/03/24 15:00
雲林縣崙背鄉西榮村和平路,23.7616383,120.3513833,105/03/15 16:00
雲林縣虎尾鎮惠來,23.730426,120.485882,105/03/31 13:45
雲林縣崙背鄉羅厝村東興路,23.7573715,120.3668753,105/03/19 22:00
雲林縣虎尾鎮成德五街,23.7102985,120.4497798,105/03/26 05:48
雲林縣莿桐鄉甘厝村甘厝,23.7564678,120.4919227,105/04/14 03:20
雲林縣虎尾鎮大庄路,23.7052359,120.4602287,105/04/15 16:30
雲林縣虎尾鎮北平路,23.7094902,120.4272203,105/04/23 13:22
雲林縣虎尾鎮光復路,23.7097507,120.4417973,105/03/28 13:00
雲林縣北港鎮西勢里文化路,23.5676664,120.3011731,105/04/24 20:40
雲林縣北港鎮劉厝里劉厝路,23.5855482,120.2902105,105/04/26 21:45
雲林縣台西鄉溪頂村溪頂路,23.6797259,120.1817909,105/04/30 13:00
雲林縣麥寮鄉橋頭村橋頭路,23.7932146,120.2727919,105/04/04 10:00
雲林縣北港鎮光民里益安路,23.5673064,120.3055033,105/04/28 20:30
雲林縣水林鄉塭底村塭底路,23.5159407,120.2020537,105/04/28 10:30
雲林縣北港鎮華勝里民政路,23.5754656,120.2993466,105/03/25 19:32
雲林縣虎尾鎮中正路,23.7065507,120.4315365,105/05/04 14:30
雲林縣古坑鄉永光村大湖口路,23.618985,120.5656568,105/02/20 12:00
雲林縣林內鄉林中村三星路,23.7779336,120.6164314,105/05/13 09:00
雲林縣莿桐鄉埔子村榮村,23.752736,120.512861,105/01/31 19:42
雲林縣古坑鄉朝陽村大埔路,23.6392605,120.5947962,105/05/15 16:00
雲林縣西螺鎮詔安里埔心路,23.7988208,120.4445159,105/04/01 00:00
雲林縣麥寮鄉橋頭村仁德路,23.7971944,120.2723295,105/04/03 07:20
雲林縣斗南鎮田頭里田福路,23.7012368,120.4892156,105/05/04 16:12
雲林縣元長鄉潭西村,23.6424959,120.2873266,105/04/12 14:02
雲林縣口湖鄉湖東村文明路,23.5886026,120.1865661,105/04/26 15:13
雲林縣斗六市中南路,23.7341896,120.5589347,105/03/24 08:40
雲林縣斗六市大智街,23.7013194,120.5397783,105/03/20 09:00
雲林縣大埤鄉松竹村松西,23.6382735,120.4501653,105/04/26 14:07
