CareName,City,Area,addr,Address,機構狀態,Service,電話,傳真,單位網址,單位電子信箱,lat,lng
嘉義縣私立長松護理之家,嘉義縣,大林鎮,中正路424-426號,嘉義縣大林鎮中正路424-426號,2,一般護理之家,05-2652847,無,https://www.facebook.com/pages/%E9%95%B7%E6%9D%BE%E8%AD%B7%E7%90%86%E4%B9%8B%E5%AE%B6/284529021560490?ref=br_rs,longago0104@yahoo.com.tw,23.6014664,120.4529355
佛教慈濟醫療財團法人附設大林慈濟居家護理所,嘉義縣,大林鎮,7鄰民生路2號,嘉義縣大林鎮7鄰民生路2號,2,居家護理,05-2648000*5404,05-2648000*5407,http://www.tzuchi.com.tw/,lianne@tzuchi.com.tw,23.5953815,120.4564411
嘉義縣大林鎮衛生所附設居家護理所,嘉義縣,大林鎮,中山路252號,嘉義縣大林鎮中山路252號,2,居家護理,05-2652042,05-2641136,http://clinic.cyshb.gov.tw/h4003/pub/LIT_6.asp,4003b@cyshb.gov.tw,23.6069231,120.4556204
嘉義縣大埔鄉衛生所附設居家護理所,嘉義縣,大埔鄉,53之1號,嘉義縣大埔鄉大埔村53之1號,2,居家護理,05-2521214,05-2521370,http://clinic.cyshb.gov.tw/h4017/pub/News.asp,4017d@cyshb.gov.tw,23.2952695,120.5932586
私立大德護理之家,嘉義縣,中埔鄉,和睦村中華路268巷33號,嘉義縣中埔鄉和睦村中華路268巷33號,2,一般護理之家,05-2308599,05-2309299,http://www.mydade.org/,dom26833@yahoo.com.tw,23.433693,120.4507782
嘉義縣嘉義縣中埔鄉衛生所附設居家護理所,嘉義縣,中埔鄉,嘉義縣130-1號,嘉義縣中埔鄉嘉義縣130-1號,2,居家護理,05-2531008,05-2534826,http://clinic.cyshb.gov.tw/h4013/pub/LIT_6.asp,4013j@cyshb.gov.tw,23.4255769,120.5227535
宜恩居家護理所,嘉義縣,中埔鄉,富收村興化部22-55號,嘉義縣中埔鄉富收村興化部22-55號,2,居家護理,05-2305779,無,無,,23.444761,120.474318
長順護理之家,嘉義縣,六腳鄉,正義村占富厝1-2號,嘉義縣六腳鄉正義村占富厝1-2號,2,一般護理之家,05-3706930,05-3706935,http://www.lsnurse91.com.tw/,lsnurse91@gmail.com,23.491864,120.252815
六腳鄉衛生所,嘉義縣,六腳鄉,73-1號,嘉義縣六腳鄉蒜頭村73-1號,2,居家護理,05-3800616,05-3800450,http://clinic.cyshb.gov.tw/h4007/pub/News.asp,4007i@cyshb.gov.tw,23.4933915,120.2916428
全一居家護理所,嘉義縣,太保市,仁愛路96號,嘉義縣太保市仁愛路96號,2,居家護理,05-2383997,無,無,無,23.4971632,120.3876966
嘉義縣太保市衛生所附設居家護理所,嘉義縣,太保市,14鄰443號,嘉義縣太保市前潭里14鄰443號,2,居家護理,05-3711273,05-3714862,http://clinic.cyshb.gov.tw/h4011/pub/LIT_6.asp,4011@cyshb.gov.tw,23.4572661,120.3507571
嘉義縣私立民生護理之家,嘉義縣,水上鄉,義興村中義路860號,嘉義縣水上鄉義興村中義路860號,2,一般護理之家,05-2892259,2891925,http://www.msnh.com.tw/,min25796981@yahoo.com.tw,23.4185414,120.4300032
福茂庭園護理之家,嘉義縣,水上鄉,溪州村外溪洲487-10號,嘉義縣水上鄉溪州村外溪洲487-10號,2,一般護理之家,05-2600035,05-2600787,https://www.facebook.com/groups/143789429017099/,fm2600035@yahoo.com.tw,23.420168,120.394049
孝親護理之家,嘉義縣,水上鄉,南和村後寮2-2號,嘉義縣水上鄉南和村後寮2-2號,2,一般護理之家,05-2683858,05-2603091,http://孝親護理之家.tw/,wadepzw@yahoo.com.tw,23.412481,120.361236
嘉義縣水上鄉衛生所附設居家護理所,嘉義縣,水上鄉,正義路145號,嘉義縣水上鄉水上村正義路145號,2,居家護理,05-2682059,05-2683893,http://clinic.cyshb.gov.tw/h4012/pub/News.asp,4012b@cyshb.gov.tw,23.428067,120.397673
布袋衛生所附設居家護理所,嘉義縣,布袋鎮,21號,嘉義縣布袋鎮新厝里21號,2,居家護理,05-3472032,05-3476620,http://clinic.cyshb.gov.tw/h4002/pub/LIT_6.asp,4002a@cyshb.gov.tw,23.3814514,120.1698975
嘉義縣私立福興護理之家,嘉義縣,民雄鄉,牛稠溪68-5號,嘉義縣民雄鄉牛稠溪68-5號,2,一般護理之家,05-2200800,05-2202454,www.raytai.org.tw,fnh2200800@yahoo.com.tw,23.5106324,120.4278226
嘉義縣民雄鄉衛生所附設居家護理所,嘉義縣,民雄鄉,文化路2號,嘉義縣民雄鄉文化路2號,2,居家護理,05-2262018,05-2263562,http://clinic.cyshb.gov.tw/h4004/pub/LIT_6.asp,4004b@cyshb.gov.tw,23.551314,120.427478
長庚醫療財團法人附設嘉義長庚護理之家,嘉義縣,朴子市,嘉朴路西段6號,嘉義縣朴子市嘉朴路西段6號,2,一般護理之家,05-3601000#2400,05-3621000#2797,https://www1.cgmh.org.tw/nursinghomejia,hc0401@cgmh.org.tw,23.4623035,120.2859553
衛生福利部朴子醫院附設護理之家,嘉義縣,朴子市,永和里42-50號,嘉義縣朴子市永和里42-50號,2,一般護理之家,05-3790600,無,http://www.puzih.mohw.gov.tw/,nur9@puzih.mohw.gov.tw,23.464349,120.234632
衛生福利部朴子醫院附設居家護理所,嘉義縣,朴子市,42-50號,嘉義縣朴子市永和里42-50號,2,居家護理,05-3790600*718,05-3795256,http://www.puzih.mohw.gov.tw,fm@puzih.mohw.gov.tw,23.464349,120.234632
長庚醫院財團法人附設嘉義居家護理所,嘉義縣,朴子市,嘉朴路西段6號,嘉義縣朴子市嘉朴路西段6號,2,居家護理,05-3621000*2718,05-3621000*2797,https://www.cgmh.org.tw/branch/branch_jia.htm,p22109@cgmh.org.tw,23.4623035,120.2859553
朴子市衛生所附設居家護理所,嘉義縣,朴子市,光復路40號,嘉義縣朴子市光復路40號,2,居家護理,05-3792037,05-3700418,http://clinic.cyshb.gov.tw/h4001/pub/News.asp,4001b@cyshb.gov.tw,23.4655902,120.2465534
佳維居家護理所,嘉義縣,朴子市,中興路89號8樓之3,嘉義縣朴子市竹圍里中興路89號8樓之3,2,居家護理,05-3660654,05-3660684,無,,23.4596124,120.2443109
臺中榮民總醫院灣橋分院附設護理之家,嘉義縣,竹崎鄉,灣橋村石麻園三十八號,嘉義縣竹崎鄉灣橋村石麻園三十八號,2,一般護理之家,05 2791072,無,http://www.vhcy.gov.tw/vhwc/,j084@vghtc.gov.tw,23.48725,120.5068585
嘉義縣竹崎鄉衛生所附設居家護理所,嘉義縣,竹崎鄉,文化路19號-1,嘉義縣竹崎鄉文化路19號-1,2,居家護理,05-2611264,05-2615635,http://clinic.cyshb.gov.tw/h4014/pub/News.asp,4014i@cyshb.gov.tw,23.5216691,120.5518501
臺中榮總灣橋分院附設居家護理所,嘉義縣,竹崎鄉,石麻園路38號,嘉義縣竹崎鄉石麻園路38號,2,居家護理,05-2791072*3086,05-2791821,http://www.vhcy.gov.tw/vhwc/,jo67@vghtc.gov.tw,23.48725,120.5068585
嘉義縣東石鄉衛生所附設居家護理所,嘉義縣,東石鄉,11鄰3-7號,嘉義縣東石鄉東石村11鄰3-7號,2,居家護理,05-3732340,05-3730440,http://clinic.cyshb.gov.tw/h4008/pub/News.asp,4008c@cyshb.gov.tw,23.4592408,120.1540991
嘉義縣阿里山鄉衛生所附設居家護理所,嘉義縣,阿里山鄉,3鄰97-2號,嘉義縣阿里山鄉3鄰97-2號,2,居家護理,05-2561573,05-2561850,http://clinic.cyshb.gov.tw/h4018/pub/News.asp,4018g@cyshb.gov.tw,23.4665164,120.7018659
