Address,lat,lng
市嘉南13縣與168縣十字路口,23.2093977,120.3689908
台61縣與170縣路口,23.2809984,120.1266011
阿里山鄉茶山村77-2號前,23.298848,120.6629279
嘉義縣阿里山鄉茶山往大埔 台南路口,23.2992653,120.6642189
大埔鄉台3縣353公里處(2521600),23.3032078,120.528792
大埔鄉台三縣往大茅埔路口,23.3032078,120.528792
義竹鄉東過村嘉163縣新舊路交接路口,23.3050516,120.2068286
義竹鄉新富村牛稠底65號前,23.319627,120.223589
台三縣274公里交叉路口,23.3245407,120.2740002
布袋鎮復興里541號(旺達超市),23.3252351,120.1605127
台61縣與163交叉路口、派出所前台17縣路口,23.3277319,120.1552709
嘉30縣與163縣路口(頭竹往新店),23.3326972,120.2319869
義竹鄉台19縣92K及92.4K處,23.3342497,120.2490463
129縣新美派出所前、129縣新美村往新美國小三岔路口、129縣往新美村2鄰三岔路口,23.337006,120.680388
義竹鄉嘉172縣與往義竹郵局路口(翁重鈞前),23.3373361,120.2433567
義竹鄉義竹加油站路口,23.3392249,120.2493839
義竹鄉傳芳村活動中心前路口,23.34032,120.24255
義竹鄉台19縣與163縣路口,23.3423581,120.2531806
布袋鎮新岑里往台17縣路口,23.3427391,120.1743774
義竹鄉北華村48-1號活動中心內,23.3449591,120.1962918
義竹鄉義竹國小後方,23.3467354,120.223048
大林鎮新生路與中正路口(榮林路橋),23.3498619,120.4139993
義竹鄉五厝村80之1號前,23.356771,120.273391
布袋國中前與合家歡KTV路口,23.3590501,120.1802181
義竹鄉東光村新庄社區,23.3629953,120.2455033
嘉義縣布袋鎮172縣道英賓餐廳前,23.3697247,120.1953532
義竹鄉龍蛟村草湖1-1號,23.370973,120.205904
172縣與161縣交叉口,23.3734379,120.1865925
布袋鎮台17縣省道與過溝三叉路口,23.3747362,120.1735489
中埔鄉台3縣往中崙社區路口,23.3748385,120.5592083
布袋鎮台17縣與172縣交叉路口(全國加油站前),23.3748509,120.1733214
東港里埔仔厝232-2號前路口,23.3754342,120.1857382
"嘉義縣鹿草鄉光潭村152號(下潭派出所前路口)鹿草鄉光潭村
下潭派出所兩側路口",23.375855,120.287128
大布袋大賣場前十字路口,23.377766,120.167712
布袋鎮興中里太平路與信義路口,23.3780675,120.1609419
鹿草鄉外環道路三叉路口,23.3785811,120.3303164
達娜伊谷,23.3789809,120.6756347
布袋中油加油站前路口,23.379576,120.1670529
上海路與後寮路口,23.3796128,120.1582287
嘉義縣布袋鎮岑海里布新橋 南北二支,23.3797295,120.156771
中埔鄉沄水國小前,23.380415,120.528508
布袋鎮海港大道與後寮路口,23.3807951,120.1586006
布袋鹽場丁字路口(台17縣自由路),23.3809454,120.1693183
中埔鄉深坑村豐山果園往三層村及深坑村路口,23.3817711,120.5221976
海港大道(布袋國小前路口),23.3821154,120.1712566
嘉161縣與嘉22縣(東港里136號前)路口,23.382772,120.1935403
布袋鎮嘉22縣0.5K處路口,23.3835082,120.1807112
布袋鎮嘉22縣2.2公里處往菜舖里路口,23.3835082,120.1807112
鹿草鄉嘉167縣與嘉163縣路口,23.3851489,120.2948249
布袋鎮考試里活動中心前,23.3855761,120.1688606
布袋鎮考試里鹿寮宮活動中心,23.3863548,120.1807592
鹿草鄉嘉163外環道路口,23.3864075,120.2995271
布袋鎮振寮里194-5號前路口,23.386635,120.1809524
布袋鎮往第三漁港路口,23.3879146,120.1564712
義竹鄉溪洲村上溪洲福得宮,23.391903,120.2483881
嘉163縣34公里與堤防道處,23.3930274,120.2981667
布袋鎮菜舖里新吉庄1之1號前,23.3944972,120.2189094
鹿草鄉嘉163縣與嘉170縣路口,23.3952443,120.2727014
鹿草鄉竹山村龜佛山四岔路口,23.3974267,120.2707743
同仁村老人會館前路口,23.400429,120.50975
鹿草鄉後堀村65之15號,23.4047601,120.3419331
嘉163縣外環道往重寮路口,23.4048515,120.3371236
中埔鄉同仁村99號(同仁所前),23.4055702,120.5104501
嘉169縣33.5公里處達邦與特富野路口,23.408959,120.5643722
布袋鎮西安里入庄路口,23.410323,120.1805789
梅華里嘉170縣梅華里16之18號路口,23.411041,120.250778
中埔鄉三層村嘉139縣與南嘉90縣路口,23.4119618,120.5285941
嘉163縣南和村5-3號岔路口,23.4123893,120.3704662
水上鄉南和村後寮27號前路口,23.412481,120.361236
三鎮村台1縣與台82縣東西向公路路橋下,23.413433,120.386539
水上鄉靖和村南靖糖廠45之1號,23.413783,120.3850636
水上鄉中庄村龍熒工廠與165縣路口,23.413875,120.438981
布袋鎮樹林里下庄嘉170縣道路,23.4159905,120.2290868
水上鄉內溪村仁安宮前四叉路口,23.41614,120.395246
朴子市南竹里第3鄰29之1號南竹里活動中心,23.4168408,120.2463908
往嘉義市火葬場,23.4170999,120.4530271
水上鄉義興村與番仔寮路口,23.417639,120.423129
布袋鎮東安里城煌廟後方嘉18縣道路,23.4182949,120.1843396
鹿草鄉西井村167縣與鹿草外環道路口,23.4193146,120.2985777
布袋鎮貴林國小前,23.4198788,120.2142173
布袋鎮過溝郵局旁十字路口及網寮與中安里巷道,23.4201894,120.1822892
嘉義縣水上鄉中莊村三鄰66號(嘉白公路中莊派出所前三岔路口),23.4210589,120.4370919
東石鄉掌潭村白水湖村內,23.421484,120.160675
中埔鄉和美村大義路南山新城社區,23.4217137,120.4663153
台18縣與嘉139縣路口,23.4217177,120.4992375
嘉139縣與臺18縣興化部路口,23.4217177,120.4992375
中埔鄉中埔村台三縣與頂中、龍門村路口,23.422252,120.503595
朴子市新庄里4鄰63-5號前,23.4230437,120.2666093
頂中公司與裕民村三叉路口,23.4238989,120.5056686
中埔鄉嘉135縣與中正路口,23.4238999,120.5210379
中埔派出所前路口,23.4248449,120.5237792
往龍德村、往南和村、往台82縣、往靖和村、往三鎮村,23.4250611,120.3881172
水上鄉台82縣中和交流道,23.4251525,120.427348
中埔鄉灣潭村18鄰與19鄰三叉路口,23.4276766,120.5545842
水上鄉中正路與外林街口,23.4278062,120.3985568
水上鄉中華路與中正路口往中庄方向,23.4278985,120.3997215
大埔鄉大埔加油站前,23.4285818,120.5187156
番路鄉18縣龍美路口前(0932807859),23.4286485,120.6242121
中埔鄉台三縣與鹽管村門口,23.429427,120.538006
中埔鄉裕民村大有國小前,23.429455,120.510679
番路鄉隙頂國小前,23.4296195,120.6579917
