TempleName,LordGod,Area,Address,lat,long
富安宮,五府千歲,嘉義縣,嘉義縣東石鄉副瀨村6鄰57號,23.4852917,120.1725488
國姓廟,延平郡王,嘉義縣,嘉義縣東石鄉猿樹村4鄰35之2號,23.460151,120.154219
笨港口港口宮,天上聖母,嘉義縣,嘉義縣東石鄉港口村八鄰五號,23.4953495,120.1860318
福安宮,五府千歲,嘉義縣,嘉義縣東石鄉型厝村10鄰109號,23.4800864,120.161817
濟興宮,保生大帝,嘉義縣,嘉義縣梅山鄉三美庄梅北村二十二號,23.588377,120.543666
清德寺,觀音佛祖,嘉義縣,嘉義縣東石鄉港墘村1鄰102號,23.460065,120.2123698
普濟寺,南無佛掱觀世音菩薩,嘉義縣,嘉義縣東石鄉三家村5號之8,23.467659,120.1720151
禪林寺,釋迦佛祖,嘉義縣,嘉義縣梅山鄉圳北村一鄰二十之一號,23.578261,120.571229
保安宮,邢王爺,嘉義縣,嘉義縣東石鄉掌潭村3鄰34號,23.4187786,120.1652732
臨水宮,三奶夫人,嘉義縣,嘉義縣東石鄉黎明東石村20鄰5號,23.4541141,120.147184
遊天宮,刑府千歲,嘉義縣,嘉義縣東石鄉屯子頭永屯村1鄰8號附1,23.462718,120.171652
雲龍宮,池府千歲,嘉義縣,嘉義縣東石鄉頂揖小段頂子寮172號,23.4965455,120.2058218
大眾爺廟,大眾爺,嘉義縣,嘉義縣東石鄉掌潭村11鄰白水湖27號附9,23.4239178,120.1653956
慧山岩,觀音佛祖,嘉義縣,嘉義縣梅山鄉碧湖村堀尺嶺九之一號,23.564602,120.624413
禪雲寺,釋迦牟尼佛,嘉義縣,嘉義縣梅山鄉碧湖村溪尾寮六號附二,23.566967,120.640371
圓明寺,釋迦佛祖,嘉義縣,嘉義縣東石鄉塭仔村3鄰69號,23.4400452,120.1733631
福安宮,溫府千歲,嘉義縣,嘉義縣東石鄉溪下村10鄰1號,23.4802778,120.1963889
真武宮,玄天上帝,嘉義縣,嘉義縣梅山鄉詔安寮安靖村四十三號,23.54504,120.578459
永興宮,福德正神,嘉義縣,嘉義縣梅山鄉生毛樹瑞峰村五鄰25之1號,23.5582577,120.6653151
福海宮,李府千歲,嘉義縣,嘉義縣東石鄉塭港村12鄰28號附1,23.4675034,120.1468408
松湖宮,五府千歲,嘉義縣,嘉義縣東石鄉下蔦松蔦松村3鄰44號,23.472837,120.216363
