單位,地址,等級,lat,long
社團法人雲林縣老 人福利保護協會,640雲林縣斗六市虎溪路23-1號,A,23.7213664,120.5240296
社團法人雲林縣老 人福利保護協會,雲林縣斗六市林頭里林頭32-3號,B,23.693644,120.556576
財團法人雲林縣私 立同仁仁愛之家,雲林縣林內鄉林茂 村復興34號,B,23.750963,120.606985
社團法人雲林縣老 人福利保護協會,斗六市鎮北路712號,C,23.7255029,120.5380497
社團法人雲林縣老 人福利保護協會,斗六市南仁路3號,C,23.7224456,120.5835394
社團法人雲林縣圓 夢協會,斗六市北平路45號,C,23.713566,120.53646
雲林縣斗六市湖山 社區發展協會,斗六市楓湖路9-6號,C,23.7152747,120.6062126
財團法人私立天主教中華聖母社會福利慈善事業基金會露德家園日照中心,民雄鄉山中村牛斗山95-7號,A,23.518372,120.405399
民雄鄉衛生所,民雄鄉中樂村文化路7之2號,B,23.551314,120.427478
惜福老人長照中心,民雄鄉東榮村中庄21-20號,B,23.555529,120.43461
戴德森醫療財團法人嘉義基督教醫院,嘉義市忠孝路539號,B,23.4994174,120.450168
財團法人嘉義縣私立開元殿福松老人養護中心,嘉義縣溪口鄉柴林村1鄰柴林腳61號之16,B,23.605473,120.372755
民雄鄉福興社區發展協會,民雄鄉福興村60號,C,23.5105432,120.4263302
民雄鄉文隆社區發展協會,民雄鄉文隆村47-7號,C,23.537493,120.420082
民雄鄉菁埔社區發展協會,民雄鄉菁埔村137-5號,C,23.5535422,120.4017727
嘉義縣私立雙福寶佛門老人長期照顧中心,民雄鄉建國路二段187之101號,C,23.5392873,120.4305224
財團法人雙福社會福利慈善事業基金會,嘉義市忠孝路539號,C,23.4994174,120.450168
財團法人柴林腳教育基金會,溪口鄉柴林腳13號,C,23.606515,120.369708
