id,area,Address,lat,lng
1,斗六市,斗六市大學路 中山路,23.6967903,120.5380048
2,斗六市,斗六市成功里鎮東路 中華路,23.7085119,120.552447
3,斗六市,斗六市成功里成功路 內環路,23.706667,120.5491605
4,斗六市,斗六市成功里成功路 鎮東路,23.7051788,120.5513978
5,斗六市,斗六市鎮東里大學路 文化路,23.7127369,120.5569543
6,斗六市,斗六市鎮東里內環路 文化路,23.7110268,120.5493652
7,斗六市,斗六市鎮東里育英北街 民生路,23.7142558,120.5512377
8,斗六市,斗六市鎮東里大同路 內環路,23.7095899,120.5494223
9,斗六市,斗六市忠孝里大同路 中正路,23.709586,120.5445619
10,斗六市,斗六市忠孝里大同路 永安街,23.7095665,120.5478922
11,斗六市,斗六市忠孝里中華路 中正路,23.7086011,120.5445465
12,斗六市,斗六市溝?里仁義路 外環路（電信機房）,23.673783,120.5374832
13,斗六市,斗六市溝?里光明路 泰安路,23.6756889,120.5322708
14,斗六市,斗六市林頭里成功路 林頭路,23.7001974,120.5560616
15,斗六市,斗六市林頭里榮譽路榮民之家前,23.7039808,120.5580537
16,斗六市,斗六市林頭里大學路市立托兒所前,23.699088,120.546042
17,斗六市,斗六市林頭里榮譽路 重光北路,23.7030031,120.5657629
18,斗六市,斗六市鎮南里榮譽路林頭國小側門,23.7046903,120.5571289
19,斗六市,斗六市鎮南里中山路 六合街,23.7059275,120.5395475
20,斗六市,斗六市鎮南里中山路 鎮南路,23.7052494,120.5394377
21,斗六市,斗六市鎮南里中山路 明德路,23.6980154,120.538078
22,斗六市,斗六市鎮南里民生南路 明德路,23.6982087,120.53701
23,斗六市,斗六市鎮南里永昌西街 九如街,23.7029011,120.5379427
24,斗六市,斗六市鎮南里中山路298巷,23.6956802,120.5405573
25,斗六市,斗六市鎮南里大學路縣警局前,23.6969719,120.5360149
26,斗六市,斗六市仁愛里永安路 成功路,23.7075226,120.5478607
27,斗六市,斗六市仁愛里永安路 文化路,23.7109787,120.5479198
