編號	日期時間	lat	long	住宅竊盜發生地點
1	104/06/01 01:00	23.3540673	120.51942740000004	嘉義縣中埔鄉東興村凍仔腳
2	104/03/28 01:00	23.444111	120.502116	嘉義縣中埔鄉金蘭村金蘭
3	104/10/21 14:00	23.4185828	120.54500600000006	嘉義縣中埔鄉石?村石?
4	104/08/18 03:00	23.4568827	120.46511220000002	嘉義縣中埔鄉和美村和美路348巷
5	104/08/12 12:27	23.444895	120.45666099999994	嘉義縣中埔鄉和興村中華路585巷
6	104/09/05 11:25	23.336024	120.24556299999995	嘉義縣義竹鄉義竹國小
7	104/07/13 08:30	23.346324	120.222759	嘉義縣義竹鄉埤前村埤子頭
8	104/09/05 08:30	23.4105593	120.19212330000005	嘉義縣布袋鎮東安里22鄰
9	104/09/26 11:00	23.4063562	120.24983050000003	嘉義縣朴子市松華里
10	104/08/21 02:00	23.4604464	120.25415750000002	嘉義縣朴子市大鄉里
11	104/07/05 09:00	23.4604464	120.25415750000002	嘉義縣朴子市大鄉里
12	104/07/16 16:14	23.4591216	120.2446979	嘉義縣朴子市友愛街18巷
13	103/12/02 12:00	23.468478	120.37051199999996	嘉義縣太保市埤麻腳段
14	104/08/13 10:00	23.4430784	120.41703770000004	嘉義縣水上鄉柳鄉村
15	104/07/26 12:00	23.454792	120.34562129999995	嘉義縣太保市前潭里後潭
16	104/07/02 03:29	23.4540322	120.29320669999993	嘉義縣太保市安仁里棒球三街
17	104/07/21 12:30	23.5619797	120.46132549999993	"嘉義縣民雄鄉大學路2段3460號1樓,"
18	103/10/24 08:30	23.5619853	120.44948539999996	嘉義縣民雄鄉豐收村好收路
19	104/11/04 10:30	23.547909	120.32600000000002	嘉義縣新港鄉六斗仔
20	104/08/23 09:23	23.534636	120.45552999999995	嘉義縣民雄鄉北勢子
21	104/04/18 20:30	23.5457838	120.46029709999993	嘉義縣民雄鄉新忠路
22	104/01/05 10:00	23.5137963	120.44015289999993	嘉義縣民雄鄉金興村惠安街71巷
23	104/11/02 16:20	23.5583765	120.34937109999998	嘉義縣新港鄉宮後街23巷
24	104/09/28 08:00	23.591668	120.44516399999998	嘉義縣溪口鄉下員林
25	104/03/14 18:00	23.6012508	120.46252379999999	嘉義縣大林鎮民族北路240巷
26	104/03/12 22:40	23.5969415	120.45889499999998	嘉義縣大林鎮民生路
27	104/03/10 09:06	23.6012508	120.46252379999999	嘉義縣大林鎮民族北路240巷
