雲林縣警察局105年1至6月住宅竊盜地點一覽表,,,,,,
編號,日期時間,發生地點,lat,long,發生(現)管轄機關,發生場所
1,105/01/15 17:50,雲林縣水林鄉蕃薯村蕃薯厝路,23.5415256,120.22375839999995,OA02 雲林縣北港分局蔦松所,A001 普通住宅(一、二層樓)
2,105/01/20 04:30,雲林縣斗南鎮西岐里和平街,23.6804463,120.47245040000007,OC10 雲林縣斗南分局斗南所,A001 普通住宅(一、二層樓)
3,105/01/01 12:40,雲林縣口湖鄉下崙村福安路,23.6237594,120.16458319999992,OA05 雲林縣北港分局下崙所,A002 公寓(三至五層建築物)
4,105/01/09 12:40,雲林縣林內鄉重興村重興路,23.7663799,120.57856630000003,OD05 雲林縣斗六分局重興所,A001 普通住宅(一、二層樓)
5,105/01/27 11:10,雲林縣崙背鄉阿勸村塩園路,23.7610467,120.34176890000003,OE06 雲林縣西螺分局崙背分駐所,A001 普通住宅(一、二層樓)
6,105/01/30 13:05,雲林縣土庫鎮崙內里崙內路,23.6856184,120.35869609999997,OF10 雲林縣虎尾分局馬光所,A001 普通住宅(一、二層樓)
7,105/03/04 12:20,雲林縣北港鎮劉厝里劉厝路,23.5855482,120.29021050000006,OA10 雲林縣北港分局北辰所,A001 普通住宅(一、二層樓)
8,105/03/07 22:30,雲林縣斗六市龍潭路,23.6923115,120.53048869999998,OD10 雲林縣斗六分局公正所,A002 公寓(三至五層建築物)
9,105/03/14 15:20,雲林縣北港鎮義民里義民路,23.5675089,120.3022363,OA11 雲林縣北港分局北港所,A001 普通住宅(一、二層樓)
10,105/03/08 12:30,雲林縣虎尾鎮大庄,23.712611,120.45943399999999,OF01 雲林縣虎尾分局惠來所,A001 普通住宅(一、二層樓)
11,105/03/08 22:11,雲林縣斗六市愛國街,23.7094662,120.53994699999998,OD11 雲林縣斗六分局斗六所,A001 普通住宅(一、二層樓)
12,105/03/08 19:13,雲林縣口湖鄉埔南村外埔,23.5974369,120.19068029999994,OA08 雲林縣北港分局口湖分駐所,A001 普通住宅(一、二層樓)
13,105/03/30 16:30,雲林縣口湖鄉梧北村復興路,23.5496842,120.19028860000003,OA06 雲林縣北港分局宜梧所,A001 普通住宅(一、二層樓)
14,105/03/01 13:37,雲林縣二崙鄉大華村華北路,23.8007458,120.42106590000003,OE03 雲林縣西螺分局永定所,A001 普通住宅(一、二層樓)
15,105/03/20 13:00,雲林縣虎尾鎮惠來,23.730426,120.48588199999995,OF01 雲林縣虎尾分局惠來所,A001 普通住宅(一、二層樓)
16,105/03/30 07:31,雲林縣斗六市莊敬路,23.7033601,120.54678039999999,OD10 雲林縣斗六分局公正所,A001 普通住宅(一、二層樓)
17,105/03/24 15:00,雲林縣西螺鎮吳厝里吳厝路,23.7461682,120.42458450000004,OE02 雲林縣西螺分局吳厝所,A001 普通住宅(一、二層樓)
18,105/03/15 16:00,雲林縣崙背鄉西榮村和平路,23.7616383,120.35138329999995,OE06 雲林縣西螺分局崙背分駐所,A001 普通住宅(一、二層樓)
19,105/03/31 13:45,雲林縣虎尾鎮惠來,23.730426,120.48588199999995,OF01 雲林縣虎尾分局惠來所,A001 普通住宅(一、二層樓)
20,105/03/19 22:00,雲林縣崙背鄉羅厝村東興路,23.7573715,120.36687529999995,OE06 雲林縣西螺分局崙背分駐所,A001 普通住宅(一、二層樓)
21,105/03/26 05:48,雲林縣虎尾鎮成德五街,23.7102985,120.44977979999999,OF11 雲林縣虎尾分局虎尾所,A001 普通住宅(一、二層樓)
22,105/04/14 03:20,雲林縣莿桐鄉甘厝村甘厝,23.7564678,120.49192270000003,OD07 雲林縣斗六分局莿桐所,A001 普通住宅(一、二層樓)
23,105/04/15 16:30,雲林縣虎尾鎮大庄路,23.7052359,120.46022870000002,OF01 雲林縣虎尾分局惠來所,A001 普通住宅(一、二層樓)
24,105/04/23 13:22,雲林縣虎尾鎮北平路,23.7094902,120.42722030000004,OF11 雲林縣虎尾分局虎尾所,A001 普通住宅(一、二層樓)
25,105/03/28 13:00,雲林縣虎尾鎮光復路,23.7097507,120.44179729999996,OF11 雲林縣虎尾分局虎尾所,A001 普通住宅(一、二層樓)
26,105/04/24 20:40,雲林縣北港鎮西勢里文化路,23.5676664,120.30117310000003,OA11 雲林縣北港分局北港所,A001 普通住宅(一、二層樓)
27,105/04/26 21:45,雲林縣北港鎮劉厝里劉厝路,23.5855482,120.29021050000006,OA10 雲林縣北港分局北辰所,A001 普通住宅(一、二層樓)
28,105/04/30 13:00,雲林縣台西鄉溪頂村溪頂路,23.6797259,120.18179090000001,OB07 雲林縣台西分局台西所,A001 普通住宅(一、二層樓)
29,105/04/04 10:00,雲林縣麥寮鄉橋頭村橋頭路,23.7932146,120.27279190000002,OB06 雲林縣台西分局橋頭所,A001 普通住宅(一、二層樓)
30,105/04/28 20:30,雲林縣北港鎮光民里益安路,23.5673064,120.30550330000005,OA11 雲林縣北港分局北港所,A001 普通住宅(一、二層樓)
31,105/04/28 10:30,雲林縣水林鄉塭底村塭底路,23.5159407,120.20205369999996,OA02 雲林縣北港分局蔦松所,A005 透天厝
32,105/03/25 19:32,雲林縣北港鎮華勝里民政路,23.5754656,120.29934660000004,OA10 雲林縣北港分局北辰所,A005 透天厝
33,105/05/04 14:30,雲林縣虎尾鎮中正路,23.7065507,120.43153649999999,OF11 雲林縣虎尾分局虎尾所,A001 普通住宅(一、二層樓)
34,105/02/20 12:00,雲林縣古坑鄉永光村大湖口路,23.618985,120.56565679999994,OC10 雲林縣斗南分局永光所,A001 普通住宅(一、二層樓)
35,105/05/13 09:00,雲林縣林內鄉林中村三星路,23.7779336,120.61643140000001,OD08 雲林縣斗六分局林內分駐所,A001 普通住宅(一、二層樓)
36,105/01/31 19:42,雲林縣莿桐鄉埔子村榮村,23.752736,120.51286099999993,OD07 雲林縣斗六分局莿桐所,A001 普通住宅(一、二層樓)
